submission_id,age,attentionCheck,attentionCorrectResponse,attentionResponse,beginClicked,comments,comprehensionCorrectResponse,comprehensionResponse,delay,delayedUrn,earlyBall,education,experiment_duration,experiment_end_time,experiment_start_time,gameOutcome,gender,languages,lateBall,prolific_pid,prolific_session_id,prolific_study_id,responseLeft,responseRight,responseTime,structure,submitClicked,trialNr,trialType,whichUrnPromptedFirst
2695,33,NA,NA,NA,NA,,lose,lose,NA,NA,stripe,Graduated High-school,558465,1769891255683,1769890697218,NA,female,,stripe,5e6a45499afc710a6a279e37,697e63836878a7942ac8fcad,697e511ed660cf7351d2289d,NA,NA,6765,disjunctive,NA,1,comprehension-1,NA
2695,33,NA,NA,NA,NA,,win,win,NA,NA,solid,Graduated High-school,558465,1769891255683,1769890697218,NA,female,,stripe,5e6a45499afc710a6a279e37,697e63836878a7942ac8fcad,697e511ed660cf7351d2289d,NA,NA,1410,disjunctive,NA,2,comprehension-1,NA
2695,33,NA,NA,NA,NA,,win,win,NA,NA,solid,Graduated High-school,558465,1769891255683,1769890697218,NA,female,,solid,5e6a45499afc710a6a279e37,697e63836878a7942ac8fcad,697e511ed660cf7351d2289d,NA,NA,573,disjunctive,NA,3,comprehension-1,NA
2695,33,NA,NA,NA,NA,,win,win,NA,NA,stripe,Graduated High-school,558465,1769891255683,1769890697218,NA,female,,solid,5e6a45499afc710a6a279e37,697e63836878a7942ac8fcad,697e511ed660cf7351d2289d,NA,NA,1047,disjunctive,NA,4,comprehension-1,NA
2695,33,true,Both balls were released at the same time,Both balls were released at the same time,1769890928560,,NA,NA,simult,none,solid,Graduated High-school,558465,1769891255683,1769890697218,win,female,,stripe,5e6a45499afc710a6a279e37,697e63836878a7942ac8fcad,697e511ed660cf7351d2289d,NA,NA,20883,disjunctive,1769890945371,1,training-attention,NA
2695,33,true,Both balls were released at the same time,Both balls were released at the same time,1769890928560,,NA,NA,simult,none,solid,Graduated High-school,558465,1769891255683,1769890697218,win,female,,stripe,5e6a45499afc710a6a279e37,697e63836878a7942ac8fcad,697e511ed660cf7351d2289d,7,1,31877,disjunctive,1769890956365,1,training,left
2695,33,true,The blue ball,The blue ball,1769890959536,,NA,NA,short,right,stripe,Graduated High-school,558465,1769891255683,1769890697218,lose,female,,stripe,5e6a45499afc710a6a279e37,697e63836878a7942ac8fcad,697e511ed660cf7351d2289d,NA,NA,11235,disjunctive,1769890967600,2,training-attention,NA
2695,33,true,The blue ball,The blue ball,1769890959536,,NA,NA,short,right,stripe,Graduated High-school,558465,1769891255683,1769890697218,lose,female,,stripe,5e6a45499afc710a6a279e37,697e63836878a7942ac8fcad,697e511ed660cf7351d2289d,1,7,25678,disjunctive,1769890982043,2,training,left
2695,33,NA,NA,NA,1769890984853,,NA,NA,short,left,solid,Graduated High-school,558465,1769891255683,1769890697218,win,female,,stripe,5e6a45499afc710a6a279e37,697e63836878a7942ac8fcad,697e511ed660cf7351d2289d,1,7,14020,disjunctive,1769890997595,1,critical,left
2695,33,NA,NA,NA,1769890999214,,NA,NA,long,left,stripe,Graduated High-school,558465,1769891255683,1769890697218,lose,female,,stripe,5e6a45499afc710a6a279e37,697e63836878a7942ac8fcad,697e511ed660cf7351d2289d,7,2,19260,disjunctive,1769891016855,2,critical,left
2695,33,true,The red ball,The red ball,1769891018527,,NA,NA,long,right,solid,Graduated High-school,558465,1769891255683,1769890697218,win,female,,solid,5e6a45499afc710a6a279e37,697e63836878a7942ac8fcad,697e511ed660cf7351d2289d,NA,NA,13895,disjunctive,1769891030750,3,critical-attention,NA
2695,33,true,The red ball,The red ball,1769891018527,,NA,NA,long,right,solid,Graduated High-school,558465,1769891255683,1769890697218,win,female,,solid,5e6a45499afc710a6a279e37,697e63836878a7942ac8fcad,697e511ed660cf7351d2289d,7,1,24888,disjunctive,1769891041743,3,critical,left
2695,33,NA,NA,NA,1769891043407,,NA,NA,medium,left,solid,Graduated High-school,558465,1769891255683,1769890697218,win,female,,stripe,5e6a45499afc710a6a279e37,697e63836878a7942ac8fcad,697e511ed660cf7351d2289d,1,7,13712,disjunctive,1769891055455,4,critical,left
2695,33,NA,NA,NA,1769891057087,,NA,NA,short,right,solid,Graduated High-school,558465,1769891255683,1769890697218,win,female,,solid,5e6a45499afc710a6a279e37,697e63836878a7942ac8fcad,697e511ed660cf7351d2289d,4,4,11670,disjunctive,1769891067125,5,critical,left
2695,33,true,The green ball,The green ball,1769891068381,,NA,NA,medium,left,stripe,Graduated High-school,558465,1769891255683,1769890697218,win,female,,solid,5e6a45499afc710a6a279e37,697e63836878a7942ac8fcad,697e511ed660cf7351d2289d,NA,NA,12611,disjunctive,1769891079736,6,critical-attention,NA
2695,33,true,The green ball,The green ball,1769891068381,,NA,NA,medium,left,stripe,Graduated High-school,558465,1769891255683,1769890697218,win,female,,solid,5e6a45499afc710a6a279e37,697e63836878a7942ac8fcad,697e511ed660cf7351d2289d,7,2,17060,disjunctive,1769891084185,6,critical,left
2695,33,NA,NA,NA,1769891087631,,NA,NA,long,right,stripe,Graduated High-school,558465,1769891255683,1769890697218,win,female,,solid,5e6a45499afc710a6a279e37,697e63836878a7942ac8fcad,697e511ed660cf7351d2289d,1,7,24075,disjunctive,1769891108260,7,critical,left
2695,33,NA,NA,NA,1769891109375,,NA,NA,simult,none,stripe,Graduated High-school,558465,1769891255683,1769890697218,win,female,,solid,5e6a45499afc710a6a279e37,697e63836878a7942ac8fcad,697e511ed660cf7351d2289d,1,7,27145,disjunctive,1769891135405,8,critical,left
