id,structure,earlyBall,lateBall,gameOutcome,delay,attentionCheck
1,conjunctive,solid,solid,win,simult,false
2,conjunctive,stripe,solid,lose,simult,false
3,conjunctive,solid,stripe,lose,simult,false
4,conjunctive,stripe,stripe,lose,simult,false
5,conjunctive,solid,solid,win,short,false
6,conjunctive,stripe,solid,lose,short,false
7,conjunctive,solid,stripe,lose,short,false
8,conjunctive,stripe,stripe,lose,short,false
9,conjunctive,solid,solid,win,medium,false
10,conjunctive,stripe,solid,lose,medium,false
11,conjunctive,solid,stripe,lose,medium,false
12,conjunctive,stripe,stripe,lose,medium,false
13,conjunctive,solid,solid,win,long,false
14,conjunctive,stripe,solid,lose,long,false
15,conjunctive,solid,stripe,lose,long,false
16,conjunctive,stripe,stripe,lose,long,false
17,disjunctive,solid,solid,win,simult,false
18,disjunctive,stripe,solid,win,simult,false
19,disjunctive,solid,stripe,win,simult,false
20,disjunctive,stripe,stripe,lose,simult,false
21,disjunctive,solid,solid,win,short,false
22,disjunctive,stripe,solid,win,short,false
23,disjunctive,solid,stripe,win,short,false
24,disjunctive,stripe,stripe,lose,short,false
25,disjunctive,solid,solid,win,medium,false
26,disjunctive,stripe,solid,win,medium,false
27,disjunctive,solid,stripe,win,medium,false
28,disjunctive,stripe,stripe,lose,medium,false
29,disjunctive,solid,solid,win,long,false
30,disjunctive,stripe,solid,win,long,false
31,disjunctive,solid,stripe,win,long,false
32,disjunctive,stripe,stripe,lose,long,false
