id,structure,leftColor,rightColor,combo,gameOutcome,delay,attentionCheck
1,conjunctive,red,yellow,solid-solid,win,simult,false  
2,conjunctive,blue,yellow,striped-solid,lose,simult,false  
3,conjunctive,red,green,solid-striped,lose,simult,false  
4,conjunctive,blue,green,striped-striped,lose,simult,false  
5,conjunctive,red,yellow,solid-solid,win,short,false
6,conjunctive,blue,yellow,striped-solid,lose,short,false  
7,conjunctive,red,green,solid-striped,lose,short,false  
8,conjunctive,blue,green,striped-striped,lose,short,false  
9,conjunctive,red,yellow,solid-solid,win,medium,false
10,conjunctive,blue,yellow,striped-solid,lose,medium,false  
11,conjunctive,red,green,solid-striped,lose,medium,false  
12,conjunctive,blue,green,striped-striped,lose,medium,false  
13,conjunctive,red,yellow,solid-solid,win,long,false
14,conjunctive,blue,yellow,striped-solid,lose,long,false
15,conjunctive,red,green,solid-striped,lose,long,false  
16,conjunctive,blue,green,striped-striped,lose,long,false  
17,disjunctive,red,yellow,solid-solid,win,simult,false
18,disjunctive,blue,yellow,striped-solid,win,simult,false  
19,disjunctive,red,green,solid-striped,win,simult,false  
20,disjunctive,blue,green,striped-striped,lose,simult,false  
21,disjunctive,red,yellow,solid-solid,win,short,false
22,disjunctive,blue,yellow,striped-solid,win,short,false
23,disjunctive,red,green,solid-striped,win,short,false  
24,disjunctive,blue,green,striped-striped,lose,short,false  
25,disjunctive,red,yellow,solid-solid,win,medium,false
26,disjunctive,blue,yellow,striped-solid,win,medium,false
27,disjunctive,red,green,solid-striped,win,medium,false
28,disjunctive,blue,green,striped-striped,lose,medium,false  
29,disjunctive,red,yellow,solid-solid,win,long,false
30,disjunctive,blue,yellow,striped-solid,win,long,false  
31,disjunctive,red,green,solid-striped,win,long,false  
32,disjunctive,blue,green,striped-striped,lose,long,false
