id,structure,earlyBall,lateBall,earlyEnd,gameOutcome,delay,attentionCheck
1,conjunctive,solid,solid,false,win,short,false
2,conjunctive,solid,stripe,false,lose,short,false
3,conjunctive,stripe,solid,true,lose,short,false
4,conjunctive,stripe,stripe,true,lose,short,false
5,conjunctive,solid,solid,false,win,medium,false
6,conjunctive,solid,stripe,false,lose,medium,false
7,conjunctive,stripe,solid,true,lose,medium,false
8,conjunctive,stripe,stripe,true,lose,medium,false
9,conjunctive,solid,solid,false,win,long,false
10,conjunctive,solid,stripe,false,lose,long,false
11,conjunctive,stripe,solid,true,lose,long,false
12,conjunctive,stripe,stripe,true,lose,long,false
13,disjunctive,solid,solid,true,win,short,false
14,disjunctive,solid,stripe,true,win,short,false
15,disjunctive,stripe,solid,false,lose,short,false
16,disjunctive,stripe,stripe,false,lose,short,false
17,disjunctive,solid,solid,true,win,medium,false
18,disjunctive,solid,stripe,true,win,medium,false
19,disjunctive,stripe,solid,false,lose,medium,false
20,disjunctive,stripe,stripe,false,lose,medium,false
21,disjunctive,solid,solid,true,win,long,false
22,disjunctive,solid,stripe,true,win,long,false
23,disjunctive,stripe,solid,false,lose,long,false
24,disjunctive,stripe,stripe,false,lose,long,false
