id,structure,early,late,gameOutcome,delay,attentionCheck
1,conjunctive,solid,solid,win,short,false
2,conjunctive,solid,stripe,lose,short,false
3,conjunctive,stripe,solid,lose,short,false
4,conjunctive,stripe,stripe,lose,short,false
5,conjunctive,solid,solid,win,medium,false
6,conjunctive,solid,stripe,lose,medium,false
7,conjunctive,stripe,solid,lose,medium,false
8,conjunctive,stripe,stripe,lose,medium,false
9,conjunctive,solid,solid,win,long,false
10,conjunctive,solid,stripe,lose,long,false
11,conjunctive,stripe,solid,lose,long,false
12,conjunctive,stripe,stripe,lose,long,false
13,disjunctive,solid,solid,win,short,false
14,disjunctive,solid,stripe,win,short,false
15,disjunctive,stripe,solid,win,short,false
16,disjunctive,stripe,stripe,lose,short,false
17,disjunctive,solid,solid,win,medium,false
18,disjunctive,solid,stripe,win,medium,false
19,disjunctive,stripe,solid,win,medium,false
20,disjunctive,stripe,stripe,lose,medium,false
21,disjunctive,solid,solid,win,long,false
22,disjunctive,solid,stripe,win,long,false
23,disjunctive,stripe,solid,win,long,false
24,disjunctive,stripe,stripe,lose,long,false
